Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h	M/L LPS R1 0h	M/L LPS R1 01h	M/L LPS R1 02h	M/L LPS R1 04h	M/L LPS R1 06h	M/L LPS R1 09h	M/L LPS R1 12h	M/L LPS R2 0h	M/L LPS R2 01h	M/L LPS R2 02h	M/L LPS R2 04h	M/L LPS R2 06h	M/L LPS R2 09h	M/L LPS R2 12h
Acsl1	4.15456	4.9573	5.76301	5.88117	6.22023	6.69322	6.67464	4.25729	5.10469	5.92795	5.96691	6.14294	6.4619	6.48243	200.5044619	193.0727944	191.2991047	197.6604969	244.7698522	320.6720156	352.5848635	193.1794256	187.0757693	189.4358401	198.842107	241.5996683	328.2907464	381.044742
Actl6a	3.97979	3.80724	3.56712	3.49143	3.46254	3.31326	3.23496	3.94316	3.75078	3.70525	3.69221	3.43177	3.08809	3.24507	78.86319734	78.30019919	76.20728305	69.99425273	66.68405053	67.68827942	69.20418145	75.40097755	74.07555055	74.29165953	74.51173879	71.27674428	67.4520728	68.99027818
Actn1	5.95753	6.08676	6.28736	6.3892	6.43787	6.20263	5.93748	5.90964	5.94871	6.30931	6.46687	6.38071	6.1952	6.08838	141.9839551	142.4945681	143.4170639	141.0269919	135.5004279	144.1443764	146.3712375	142.9147076	140.0593976	147.6596931	136.1579362	129.7148378	145.7888568	153.6281209
Actn4	5.20896	5.16381	5.0157	4.73706	4.52877	4.57774	4.71538	5.04929	5.01359	5.0022	4.7202	4.62757	4.75651	4.77807	354.9091895	338.1295506	349.5865374	351.0800144	350.6151819	342.2971864	369.3833002	351.0564919	350.2098382	364.5329824	360.1323137	348.4858577	348.3762549	333.6910639
Actr2	6.34823	6.33694	6.42341	6.53239	6.74327	6.74382	6.56815	6.29619	6.37828	6.50933	6.57741	6.69622	6.69144	6.54735	2043.140704	1902.766621	1924.629092	2016.39129	2003.036667	1893.55651	1889.821024	2011.713434	2072.572707	1979.280988	1865.999243	1857.066336	1925.969248	1963.566946
Ada	0.714781	1.27542	0.976039	0.607596	0.585696	0.377529	-0.155103	0.206527	0.92443	1.35278	0.92199	0.556667	0.380697	0.0388652	8.501186455	8.601639875	8.298610478	7.856981564	7.412690026	6.679524288	6.612169454	8.625176734	8.411781824	8.191358982	7.950329594	7.515043632	6.68686866	6.590528511
Adam10	4.29652	4.20027	3.91817	3.4762	3.42727	3.44333	3.45741	4.1034	4.05842	4.01164	3.7368	3.55157	3.38659	3.37074	4.927611867	4.740690451	4.495292631	4.440267513	4.205695176	3.841811583	3.7464372	4.679836709	4.56220762	4.613092883	4.524309067	4.234811246	3.974251999	3.753803673
Adam17	4.5646	4.76741	4.82109	4.71216	4.82557	4.90411	4.86793	4.48016	4.68142	4.81837	4.88592	4.98315	4.87884	4.73502	2.917736059	3.054266782	3.73520148	3.774442251	3.722974012	4.105686478	4.266640319	3.012158093	3.082378543	3.7369124	3.835518795	3.857668816	4.243580166	4.431540232
Adar	3.37465	3.3219	4.25198	4.81697	4.82519	4.76971	4.68145	3.40617	3.37229	4.27359	4.91443	4.93455	4.61727	4.52356	3.942597774	3.783537674	3.864927924	3.856919425	3.955077642	4.117527725	4.30655536	3.763619746	3.747997307	3.865271479	3.937458047	4.047426218	4.243010527	4.335632999
Add3	4.15128	4.04319	3.48167	2.53132	2.06081	2.07277	2.14063	4.09075	4.22725	3.83017	2.69579	1.85969	1.72637	2.05166	22.84587493	22.76300025	23.11888329	22.57652219	21.12367211	19.74357655	19.33685873	21.92403161	22.76887973	22.84313384	21.6668754	21.48194151	20.26564979	20.26724848
Adh5	4.39637	4.16639	4.16589	3.95724	3.68302	3.76005	3.96359	4.31027	4.4067	4.19458	3.94713	3.77146	3.54604	3.91636	354.2575823	363.5557142	370.2147023	363.576184	364.8680742	347.9063967	338.9600713	364.2238879	362.1973878	343.8749971	352.1270498	356.1909799	352.8586206	370.7079463
Adnp	3.66853	3.49856	3.43836	3.36293	3.50951	3.54369	3.52308	3.66843	3.57263	3.46269	3.39514	3.49482	3.46944	3.48149	4.432233098	4.508367575	4.191784757	4.0402715	3.980315426	3.919736016	4.012293529	4.02954767	4.194944076	4.286247141	4.319836443	4.161368747	4.04095622	3.975236288
Adrm1	4.96314	5.13377	5.03106	4.85017	4.76252	4.62883	4.64131	4.98535	5.09821	4.98591	4.65442	4.67465	4.78807	4.82418	45.70367399	46.4943905	47.59848617	44.95083394	43.37202034	46.29994782	44.6215696	44.64453296	43.40262	44.98938694	47.05819935	47.14535099	47.19768102	43.54768451
Adss	4.21759	4.36223	4.26315	3.89018	3.54473	3.50586	3.71155	4.17313	4.42857	4.48361	4.02053	3.38094	3.38909	3.61943	122.2877223	124.3590797	117.7738257	120.9966725	121.7415352	118.3256547	123.0102068	127.5111157	121.8987563	119.5295044	117.6097177	123.9021503	122.9091555	115.351153
Aftph	4.10401	4.10991	4.49104	5.29777	5.58386	5.15693	4.86261	4.20847	4.18517	4.44179	5.20495	5.49905	5.21099	4.8557	3.398556162	3.47625412	3.44232623	3.345183281	3.130104573	3.142485972	3.19750053	3.517544873	3.477591351	3.315087622	3.348089481	3.368226535	3.185645631	3.035846897
Agps	3.62916	3.45799	3.15531	2.77547	2.78182	2.87336	2.918	3.43539	3.62136	3.25824	2.83589	2.8449	2.77878	2.81655	79.81393414	83.38103071	81.85166884	74.54698104	74.53208569	71.63220323	65.84581017	82.79484426	84.07239573	81.7377334	77.91867208	74.83466284	66.49581909	65.3449698
Ahcy	3.37179	3.42346	3.08359	2.81476	2.585	2.14104	1.99355	3.16888	3.50498	3.1995	2.9136	2.54348	2.00621	2.07653	354.9136988	348.2107357	343.429316	347.0202638	328.3286178	324.16985	306.8913865	344.0685415	352.6090123	348.4212443	337.7613755	317.1643875	312.8501891	340.0963902
Aip	4.37481	4.13989	4.00399	4.02047	3.99653	4.25426	4.43685	4.30046	4.13518	3.91051	3.77305	4.18483	4.50959	4.41315	170.5182489	166.0372642	165.5016859	159.1149737	156.594163	160.2083345	171.8337251	164.349631	164.2791969	167.0018757	161.95535	162.3165627	164.4202744	162.7758618
Ak4	2.19502	1.984	2.04449	2.55331	3.05738	3.47621	3.91345	2.2089	1.86686	2.08593	2.667	3.1395	3.52533	3.73035	57.17577588	56.53393676	53.20051911	51.84225253	52.94739665	50.59593635	50.8254213	57.38176062	57.49614124	54.81768277	52.31321442	52.2303089	51.16776937	48.24778859
Akap13	5.86559	6.41099	6.44567	5.99406	5.56243	5.32512	5.34144	5.9758	6.37022	5.99243	5.60284	5.44715	5.7187	5.83817	7.614141875	7.475982781	7.203680922	7.018490858	6.571874067	6.459932743	6.563983079	7.667109295	7.455468294	6.89781442	6.762723502	6.648521633	6.519435571	6.806630901
Akr1a4	7.55661	7.47813	7.60959	7.86117	8.10291	8.29616	8.29195	7.58858	7.43103	7.63661	7.87008	8.0732	8.28068	8.31635	1910.294904	1773.676811	1723.989505	1652.846864	1674.754814	1848.839259	1901.428824	1749.918349	1710.092792	1653.295272	1690.874266	1741.180997	1902.123025	2034.320623
